barcode,name,brand,category,subcategory,ingredients,allergens,source,source_url,data_confidence,needs_manual_review,notes
5070000126579,Granola Super Nutty,Bio&Me,General Food,Uncategorised,"Wholegrain Oats (60%), Dates, Chicory Root Fibre, Seeds (5%) (Pumpkin, Sunflower, Brown Linseed), Nuts (4%) (Skin on Almonds, Cashew Nuts), Extra Virgin Olive Oil, Dried Carrot, Puffed Brown Rice, Quinoa, Natural Flavouring.",gluten; nuts; hazlenuts,open_food_facts,https://world.openfoodfacts.org/product/5070000126579/granola-super-nutty-bio-me,community,true,no clean SafeBite subcategory mapped
4088600247519,Wheat Bisks,Harvest Morn,General Food,Uncategorised,"WHOLE _WHEAT_ (95%), _Barley_ Malt Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid",gluten,open_food_facts,https://world.openfoodfacts.org/product/4088600247519/wheat-bisks-harvest-morn,community,true,no clean SafeBite subcategory mapped
5010029226188,Muesli Recipe,Alpen,General Food,Uncategorised,"Wholegrain Wheat (43%), Wholegrain Rolled Oats (37%), Raisins (15%), Skimmed Milk Powder, Milk Whey Powder, Roasted Sliced Nuts (2.0%) (Hazelnuts, Almonds), Salt. Allergy Advice",gluten en:milk en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5010029226188/muesli-recipe-alpen,community,true,no clean SafeBite subcategory mapped
5070000126548,"GRANOLA LOW SUGAR, NATURALLY",Bio&Me,General Food,Uncategorised,"Wholegrain Oats (48%), Seeds (10%) (Sunflower, Pumpkin, Brown Linseed, Chia (Salvia Hispanica), Nuts (8%) (Walnuts, Almonds), Vegetable Fibres (Chickpea, Maize), Chicory Root Fibre, Extra Virgin Olive Oil, Puffed Sorghum, Dates, Coconut, Quinoa, Dried Carrot, Puffed Lentils, Natural Flavourings.",nuts,open_food_facts,https://world.openfoodfacts.org/product/5070000126548/granola-low-sugar-naturally-bio-me,community,true,no clean SafeBite subcategory mapped
7613287194374,BITESIZE SHREDDED WHEAT,Nestle,General Food,Uncategorised,Whole Grain Wheat (100%),gluten,open_food_facts,https://world.openfoodfacts.org/product/7613287194374/bitesize-shredded-wheat-nestle,community,true,no clean SafeBite subcategory mapped
5018357804764,Nutty Granola,Dorset Cereals,General Food,Uncategorised,"Wholegrain _OAT_ flakes (62%), golden syrup (partially inverted sugar syrup) (17%), toasted wholegrain _RYE_ flakes, vegetable oil (rapeseed and sunflower oil in varying proportions), whole & sliced _ALMONDS_ (3.5%), roasted chopped _HAZELNUTS_ (2%), _CASHEW_ pieces (2%), desiccated coconut, natural flavouring.",gluten en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5018357804764/nutty-granola-dorset-cereals,community,true,no clean SafeBite subcategory mapped
5010029229035,Weetabix Crispy Minis Chocolate Chip,Weetabix,General Food,Uncategorised,"Wholegrain Wheat, Plain Chocolate (Sugar, Cocoa Mass, Cocoa Butter, Emulsifier: Soya Lecithin, Flavouring), Sugar, Salt, Flavouring, Iron, Niacin, Thiamin (B1), Riboflavin (B2), Folic Acid, Vitamin D.",gluten en:soybeans,open_food_facts,https://world.openfoodfacts.org/product/5010029229035/weetabix-crispy-minis-chocolate-chip,community,true,no clean SafeBite subcategory mapped
5000108022152,BRITISH PORRIDGE OATS,QUAKER,General Food,Uncategorised,100% rolled oats,,open_food_facts,https://world.openfoodfacts.org/product/5000108022152/british-porridge-oats-quaker,community,true,no clean SafeBite subcategory mapped; allergens missing or not explicitly declared
7613287152183,Shreddies,Nestle,General Food,Uncategorised,"whole grain wheat (96%), sugar, invert sugar syrup, barley malt extract, salt, molasses, vitamins and minerals (niacin, iron, pantothenic acid, folic acid, vitamin b6, riboflavin),",gluten,open_food_facts,https://world.openfoodfacts.org/product/7613287152183/shreddies-nestle,community,true,no clean SafeBite subcategory mapped
5018357012534,Simply Fruity muesli,Dorset cereals,General Food,Uncategorised,"Dried fruit [sweetened dried papaya (9%) (papaya, sugar, acidity regulator (citric acid), preservative (sulphur dioxide)), sultanas (9%), raisins (7%), sweetened dried pineapple (3.5%) (pineapple, sugar, acidity regulator (citric acid), preservative (sulphur dioxide))], barley flakes, wholegrain wheat flakes, wholegrain oat flakes, wholegrain toasted and malted wheat flakes (wheat, barley malt extract).",sulphur-dioxide-and-sulphites,open_food_facts,https://world.openfoodfacts.org/product/5018357012534/simply-fruity-muesli-dorset-cereals,community,true,no clean SafeBite subcategory mapped
