barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5024121885303,Organix Melty Carrot Puffs 20G,Organix,Baby Snacks,Baby Crisps & Puffs,Corn 77.0%; Carrot Powder 12.0%; Sunflower Oil 10.9%; Thiamin (Vitamin B1) <0.1%,,Tesco,0.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/258904138,,manual_csv,https://www.tesco.com/groceries/en-GB/products/258904138
5024121884306,Organix Melty Sweetcorn Rings 20G,Organix,Baby Snacks,Baby Crisps & Puffs,Corn 78.0%; Sweetcorn Powder 11.0%; Sunflower Oil 11.0%; Thiamin (Vitamin B1) <0.1%,,Tesco,0.6,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/258904624,,manual_csv,https://www.tesco.com/groceries/en-GB/products/258904624
5024121100574,Organix Banana Soft Oaty Bars 6x23g,Organix,Baby Snacks,Oat Snacks,Wholegrain Oats 48.5%; Raisins (contains Sunflower Oil) 17.9%; Sunflower Oil 11.2%; Apple Juice Concentrate 9.7%; Agave Fibre (Inulin) 7.9%; Dried Banana 4.8%,Oats; Gluten,Tesco,3.3,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/314848634,,manual_csv,https://www.tesco.com/groceries/en-GB/products/314848634
5024121100475,Organix Raspberry & Apple Soft Oaty Bars 6x23g,Organix,Baby Snacks,Oat Snacks,Wholegrain Oats 49.0%; Raisins (contains Sunflower Oil) 20.6%; Sunflower Oil 11.3%; Apple Juice Concentrate 8.8%; Agave Fibre (Inulin) 7.8%; Raspberry Juice Concentrate 2.5%,Oats; Gluten,Tesco,3.3,,,,in_stock,https://www.tesco.com/shop/en-GB/products/314431009,,manual_csv,https://www.tesco.com/shop/en-GB/products/314431009
