barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
3329770051584,Petits Filous Kids Strawberry & Raspberry Yoghurt Small Pots 6 x 47g,Petits Filous,Baby & Toddler,Toddler Yoghurt,Fromage Frais (Milk); Water; Sugar; Raspberry Puree from Concentrate 5%; Strawberry Puree from Concentrate 5%; Carrot Juice from Concentrate; Maize Starch; Lemon Juice from Concentrate; Natural Flavourings; Milk Mineral Concentrate; Vitamin D; Vitamin B6,Milk,Tesco,1.8,1.4,1.8,Clubcard Price,in_stock,https://www.tesco.com/groceries/en-GB/products/285019796,,manual_csv,https://www.tesco.com/groceries/en-GB/products/285019796
5036589255710,Yeo Valley Organic Little Yeos Fruity Favourites Kids Yogurt 4x85g,Yeo Valley,Baby & Toddler,Toddler Yoghurt,Organic Yogurt (Milk); Organic Peach Puree 5%; Organic Apricot Puree 5%; Organic Strawberry Puree 5%; Organic Raspberry Puree 5%; Organic Sugar; Organic Maize Starch; Natural Flavouring; Lactase Enzyme; Organic Concentrated Lemon Juice,Milk,Tesco,2.15,,,,in_stock,https://www.tesco.com/groceries/en-GB/products/312085018,,manual_csv,https://www.tesco.com/groceries/en-GB/products/312085018
